1,雅阁 2022款 260TURBO 舒享版,中型车,16.98,8.98,3.3408,6.768
2,朗逸 2022款 1.5L 手动风尚版,小型车,11.39,8.08,1.3894,6.300571429
3,思域 2022款 180TURBO CVT尚动版,小型车,12.99,8.68,1.7682,6.286857143
4,长安UNI-V 2022款 1.5T 卓越型,小型车,10.89,8.56,3.7643,6.369142857
5,速腾 2022款 200TSI 手动飞越版,小型车,13.35,7.96,1.5966,6.424
6,迈腾 2021款 330TSI DSG 30周年纪念版,中型车,23.33,8.08,4.1523,6.758857143
7,星瑞 2021款 2.0T 豪华型+,小型车,13.27,8.18,3.8553,6.626285714
8,秦PLUS DM-i 2021款 DM-i 55KM 尊贵型,小型车,11.18,8.36,1.3648,6.502857143
9,影豹 2022款 R-Style赛道版,小型车,13.68,8.74,3.0267,6.392
10,卡罗拉 2021款 1.2T S-CVT先锋PLUS版,小型车,12.28,7.84,1.6893,6.222857143
11,凌渡 2022款 凌渡L 280TSI DSG热辣版,小型车,15.09,8.12,2.0786,6.502857143
12,型格 2022款 240TURBO 专属MT版,小型车,12.99,8.34,2.8653,6.304
13,宝来 2021款 1.5L 手动时尚智联版,小型车,11.2,7.88,1.3894,6.289142857
14,逸动 2022款 PLUS 1.6L GDI 手动精英型,小型车,7.29,7.76,1.5942,6.434285714
15,天籁 2021款 2.0L XE 时尚版,中型车,17.98,8.38,2.1088,6.744
16,雷凌 2022款 185T CVT豪华版,小型车,12.98,7.9,1.6893,6.228571429
17,领克03 2022款 1.5TD DCT劲Plus,小型车,13.68,8.36,3.0409,6.370285714
18,迈锐宝XL 2022款 535T 自动锐行版,中型车,16.49,8.8,2.567,6.814857143
19,红旗H5 2022款 1.5T DCT旗悦版,中型车,14.58,8.74,2.6485,6.868571429
20,威朗 2022款 Pro 532T 乐行版,小型车,12.99,7.78,2.9936,6.282285714
21,缤瑞 2022款 缤瑞COOL 1.5T DCT风驰版,小型车,9.48,8.1,3.4651,6.291428571
22,英仕派 2022款 260TURBO 典雅版,中型车,17.99,8.54,3.3408,6.788571429
23,驱逐舰 05 2022款 DM-i 55KM 舒适型,小型车,11.98,8.08,1.3648,6.52
24,马自达3 昂克赛拉 2021款 1.5L 手动质美版,小型车,11.59,8.9,1.4285,6.291428571
25,奔驰A级 2022款 A 180 L,小型车,21.48,8.32,1.8061,6.332571429
26,高尔夫 2021款 200TSI DSG,小型车,12.98,8.26,1.6065,5.789714286
27,伊兰特 2022款 1.5L CVT GLS领先版,小型车,9.98,8.4,1.3974,6.285714286
28,帝豪L 雷神Hi·X 2022款 1.5TD-DHT Pro 100KM Super 净,小型车,12.98,8.4,3.4651,6.422857143
29,奥迪A4L 2022款 35 TFSI 时尚动感型,中型车,30.68,8.96,2.4288,6.773714286
30,奔驰C级 2022款 C 200 L 运动版,中型车,32.52,8.86,2.5958,6.842285714
31,凯美瑞 2021款 2.0E 精英版,中型车,17.98,8.62,2.634,6.72
32,蒙迪欧 2022款 EcoBoost 245 时尚型,中型车,15.98,8.04,5.3489,7.005714286
33,凯迪拉克CT5 2022款 28T 风尚型,中型车,27.97,9.04,5.078,6.950857143
34,帕萨特 2022款 280TSI 商务版,中型车,18.19,8.34,2.0786,6.856
35,亚洲龙 2022款 2.0L 进取版,中型车,19.98,8.78,2.634,6.897142857
36,汉DM 2022款 DM-i 121KM尊贵型,大型车,21.58,8.58,1.726,7.057142857
37,君威 2022款 552T 智享型,中型车,19.68,8.4,2.567,6.779428571
38,奥迪A3 2022款 Sportback 35 TFSI 进取致雅型,小型车,20.31,8.66,2.0786,5.852571429
